,joshgroban
2106,1467266241962418176
2107,4646713769
2108,1282806430450569216
2109,1479438102934568969
2110,1468176307469094917
2111,259244424
2112,1454485021708849152
2113,131991099
2114,1469610514187575298
2115,911685073157619713
2116,1473065014152110082
2117,2894579481
2118,1474389237562843138
2119,1476675177123442692
2120,1479226931526574082
2121,1478790301611442180
2122,1105756134311428096
2123,1248080224404848641
2124,931687604134797312
2125,2545126402
2126,1468547307155214340
2127,798686182234144768
2128,1339157259692122113
2129,885514645
2130,21725697
2131,20146307
2132,1422297782191280133
2133,2153503985
2134,1478912420273963009
2135,3091458822
2136,137789227
2137,758995615468523521
2138,921724927069310976
2139,1267097036874186753
2140,1229980591606636546
2141,1478823598806736897
2142,508233205
2143,988253644226150400
2144,1478849891896025088
2145,1082383968668995584
2146,1478839263437508609
2147,1444021539154784258
2148,1010773666190188544
2149,1437073958944247813
2150,43016530
2151,555148252
2152,1476806828562386944
2153,1477011539718807555
2154,1478780774304342021
2155,1474629236925157377
2156,37419114
2157,757347725184598016
2158,1443014751559163905
2159,173973316
2160,1470003080297078786
2161,1870389067
2162,1255141976116097025
2163,1468357242034716676
2164,1478661560927195148
2165,1687670756
2166,50237865
2167,1344023623057727489
2168,770454057878220800
2169,1476038407520497665
2170,1022344900631650304
2171,1478558593762971649
2172,1101545439579594752
2173,769622504772030464
2174,1478500790088212482
2175,1273632725300207617
2176,1370911570864308231
2177,1367810820034400258
2178,803774743967047680
2179,145785480
2180,1283088990590185472
2181,1441032572574699528
2182,124624028
2183,1431193184
2184,2233044960
2185,1478490812480733184
2186,1474761626213441536
2187,2230582913
2188,48239127
2189,402474264
2190,1477561213228052484
2191,1225879925409878017
2192,2801056063
2193,2855444107
2194,1474950538303320064
2195,2336648332
2196,1468897685327523842
2197,22240964
2198,1316451729479798790
2199,1478397621744005122
2200,1478387803885129739
2201,1478369810119643142
2202,4070564715
2203,1452681031
2204,1232928409384128513
2205,1173772821908066304
2206,4633504156
2207,1378752669553070082
2208,1347302913400561665
2209,119906191
2210,1316971887906283520
2211,809722963
2212,74812337
2213,102824281
2214,83219453
2215,932012561209311232
2216,2393353285
2217,24017627
2218,24494541
2219,623908954
2220,1478210616804265985
2221,1477025106568355842
2222,231598336
2223,1463134485407358981
2224,1226716934617673728
2225,2273729244
2226,1477064920445374469
2227,1465487352126590976
2228,34805899
2229,1036746178191413248
2230,2800742876
2231,1363029971183144961
2232,18365887
2233,292462107
2234,199279423
2235,1475318778263187458
2236,1302342435326943232
2237,1478160206718816257
2238,14573094
2239,2458918189
2240,2420621688
2241,1462944621382807552
2242,188601978
2243,1500206940
2244,1535693335
2245,1252348107599175689
2246,22585003
2247,795332077109514241
2248,34817667
2249,1167732392
2250,786437129614135296
2251,939168311081914374
2252,249496713
2253,3404284869
2254,1912782222
2255,2317800736
2256,719360211857702914
2257,954442490295279618
2258,287730152
2259,1357363725423046658
2260,1353784731322757135
2261,1477171147711995905
2262,1246125662848593920
2263,1360708035937722374
2264,1267198860021161985
2265,867238516207603714
2266,3249497047
2267,1434969738250268688
2268,60628539
2269,983632335542341632
2270,1322903915587915778
2271,1443277318642937870
2272,2397863043
2273,1465070496022728709
2274,1470601050361151491
2275,244526724
2276,1475977139010818052
2277,1080800000379113472
2278,1378178682867617792
2279,1477831609328013312
2280,1317560035
2281,1447257211332349953
2282,1477487945502314497
2283,1477085178669551620
2284,1404788826078334978
2285,3048596779
2286,1173751857975635968
2287,1477708930642059265
2288,343863214
2289,1452641603965837318
2290,1477613704262860800
2291,237780372
2292,1118173273240551424
2293,1475122065711812608
2294,1384630398
2295,1474205324047441922
2296,1183118912273223687
2297,1428624742915874824
2298,1477382062256631809
2299,119304423
2300,1458414966764044289
2301,1477419666427441219
2302,750462622500290560
2303,21924790
2304,1436008902961807362
2305,2391366456
2306,769868527
2307,879821797
2308,1477243864775864321
2309,1477165586094473216
2310,48357867
2311,1373288479862353921
2312,1520837815
2313,1477072502362759168
2314,1243517155
2315,299786001
2316,1477017094550130692
2317,1475143259546656774
2318,869296721481936896
2319,1401960877218226178
2320,1446561028523843586
2321,1476794737793273856
2322,1435893592342478853
2323,1402806618111238146
2324,1144068494134337536
2325,1030564910579830785
2326,1473054875931926532
2327,750181612315226113
2328,919917780555747330
2329,1463951140672974851
2330,944647791233650688
2331,1476598656061128707
2332,1476558646288941056
2333,1476408202539450371
2334,1453977573906546690
2335,1475288359153004544
2336,1475954212290891777
2337,1476137243739885573
2338,1475091115913224197
2339,1476168160021782531
2340,1460136636025643009
2341,1476313906062643201
2342,1476353800134926338
2343,1473426801867296778
2344,1242004320649990147
2345,1475122077053046786
2346,989582647260217344
2347,1476294023421825032
2348,854455776278175744
2349,1304498089093468161
2350,1380639677519171587
2351,790889713091567618
2352,1475900151290114049
2353,1453410238527385606
2354,1225861795
2355,3240793904
2356,952857181036015617
2357,1423523202811187200
2358,2172087260
2359,1473875741662224388
2360,551584474
2361,899552473970507776
2362,1390318392993751041
2363,268766347
2364,1856151050
2365,402192101
2366,2411519926
2367,1241915007866150912
2368,1369401644652376066
2369,1475888028782628866
2370,1475831027310514178
2371,496830661
