,AndreaBocelli
1193,1470844846122360836
1194,1508724747173044226
1195,899690332841017345
1196,3092013925
1197,393867058
1198,1508274039332249603
1199,1508891005168271379
1200,1503855026711711745
1201,97586573
1202,3040387972
1203,252516838
1204,1508382226979102723
1205,1470073443932594181
1206,342720084
1207,2381459119
1208,1507145726148624387
1209,1321043678459285507
1210,231038231
1211,1508562496663265280
1212,1505309112233611267
1213,1507745787828219904
1214,1126149207289524225
1215,1416205216224096258
1216,3127848671
1217,3473678602
1218,614683274
1219,1422213118760034318
1220,1508271425836171271
1221,711189272028712962
1222,1503469082091347970
1223,1121379352418095106
1224,1508189605203480581
1225,1377786546758164480
1226,1201870954080681985
1227,1131270933937840129
1228,1508070973194616836
1229,1508034699683315718
1230,28315396
1231,1507277323707596810
1232,947737259989766144
1233,1500874384860344324
1234,1507971444499783681
1235,1505924086140129282
1236,1217921264817451009
1237,1091535880374964224
1238,1167543613
1239,2260403011
1240,447459681
1241,89130033
1242,730483354102050816
1243,1506702062242910208
1244,262138417
1245,1498734436527099907
1246,1503963172419551233
1247,246926855
1248,1507032957604843538
1249,1496375272525946882
1250,1507683226135019522
1251,888154804379422721
1252,1073005196731658240
1253,1507107103592362001
1254,709587387668533249
1255,1476995597865570309
1256,1411418007822376964
1257,1498339266132422663
1258,1495834406010990603
1259,1503075723300548610
1260,16304494
1261,41330123
1262,1267858883898413059
1263,1505269290303467521
1264,1317204199759925250
1265,3122145621
1266,1199673298877079552
1267,1445134044266745863
1268,882549331722633216
1269,1504551789944872965
1270,1501689675597201415
1271,1507171483336032259
1272,1507106866718982151
1273,1487250412931407876
1274,1010834623323099137
1275,1493673465399947269
1276,793164049005551616
1277,1498031316700483585
1278,275156009
1279,2601114916
1280,779385860131139584
1281,1867053362
1282,415860079
1283,292619829
1284,810537815192670208
1285,1470492285838237704
1286,18953158
1287,1467237286362304512
1288,4546999888
1289,989587307454967808
1290,1452343636377718789
1291,1499872866350809092
1292,1483938403725066242
1293,1501572176931356678
1294,1506768127765401602
1295,1390027852435832832
